long,lat
-4.10767,52.86184
-4.10762,52.86178
-4.1076,52.86175
-4.10757,52.8617
-4.10752,52.86164
-4.1074,52.86158
-4.1073,52.86152
-4.10727,52.8615
-4.10722,52.86145
-4.10716,52.8614
-4.10715,52.86136
-4.10715,52.86135
-4.10713,52.86135
-4.10711,52.86131
-4.10706,52.86123
-4.10702,52.86118
-4.107,52.86116
-4.10686,52.86103
-4.10686,52.86102
-4.10683,52.86099
-4.10682,52.86097
-4.10682,52.86095
-4.10683,52.86094
-4.10685,52.86092
-4.10687,52.86091
-4.10693,52.86089
-4.10694,52.86089
-4.10701,52.86085
-4.10707,52.86081
-4.10711,52.86076
-4.10711,52.86072
-4.10709,52.86068
-4.10708,52.86066
-4.10708,52.86064
-4.10709,52.86062
-4.1071,52.86061
-4.10711,52.8606
-4.10714,52.86058
-4.10715,52.86057
-4.10718,52.86056
-4.10723,52.86055
-4.10726,52.86054
-4.1073,52.86052
-4.10732,52.8605
-4.10734,52.86048
-4.10735,52.86046
-4.10735,52.86045
-4.10736,52.86041
-4.10738,52.86027
-4.10738,52.86024
-4.10741,52.86019
-4.10743,52.86017
-4.10744,52.86016
-4.10748,52.86012
-4.1075,52.86008
-4.10752,52.86006
-4.10755,52.86005
-4.10761,52.86003
-4.10765,52.86002
-4.10768,52.86
-4.1077,52.85998
-4.1077,52.85995
-4.10769,52.85992
-4.10763,52.85987
-4.10759,52.85983
-4.10757,52.8598
-4.10757,52.85978
-4.10758,52.85974
-4.10762,52.85963
-4.10762,52.85962
-4.10765,52.85955
-4.10771,52.85945
-4.10776,52.85937
-4.10778,52.85929
-4.10768,52.85926
-4.10773,52.85923
